lake,learner,k,calibrated_spearman,source_spearman,delta_spearman,calibrated_anomaly_r2_logspace,source_anomaly_r2_logspace,delta_anomaly_r2_logspace,delta_anomaly_r2_origspace
Dianchi,MLP,10,0.469899194311556,0.3185236741229259,0.14995248304706787,-0.7346682281783886,-14.130746151237524,13.168151707780346,20227.891604326465
Dianchi,PLSR,1,0.5210935474611003,0.5210935474611003,0.0,-7.562061316963309,-7.562061316963309,0.0,1109.6834177543988
Dianchi,PLSR,3,0.5225665107428179,0.5225665107428179,0.0,-6.164171311188854,-7.64600114788638,1.5250448843259834,3483.090201968329
Dianchi,PLSR,5,0.32275179147080585,0.5162629486071342,-0.19869488621730982,-2.9581533252593895,-7.710961460023569,4.4551641718540615,4484.637114277372
Dianchi,PLSR,10,0.25338118846834345,0.5136026807789248,-0.2585792191837879,-2.2969754416006434,-7.708568477548954,5.016379796490219,4559.08962394602
Dianchi,XGBoost,1,0.21585480790156825,0.21585480790156825,0.0,-2.9128018676133944,-2.9128017004757574,5.989911477932708e-08,-1.9716488093961169
Dianchi,XGBoost,3,0.21072328806588325,0.21072328806588325,0.0,-2.2559770054926784,-2.8709362867971118,0.5623330841958207,-1.0004733029475084
Dianchi,XGBoost,5,0.08843847592145201,0.21645243903104594,-0.0975995405754804,-1.7760060376103097,-2.913688272837952,1.1078492933364696,-0.32236449753277663
Dianchi,XGBoost,10,0.4049906697903174,0.21697565386892328,0.19378142372512103,-1.3710122583679047,-2.84612890084893,1.332624964148094,-0.23728270807367768
Eagle Creek Reservoir,MLP,1,0.7262622414409347,0.7262622414409347,0.0,0.44782263797647276,0.4478226379764728,0.0,-0.002599735652132895
Eagle Creek Reservoir,MLP,3,0.7280694340290794,0.7280694340290794,0.0,0.44989971708034665,0.44713209656299996,0.0023784362016417426,-0.03514822990836414
Eagle Creek Reservoir,MLP,5,0.6887964866153907,0.7293247351129168,-0.032276591357082884,0.3524271863280311,0.44857222128927327,-0.10829775013038834,-0.2470496872426065
Eagle Creek Reservoir,MLP,10,0.7536434993161258,0.7306150583418541,0.01799166580470285,0.37124249855925284,0.45560482112077016,-0.06870579562405932,-0.163733229697532
Eagle Creek Reservoir,PLSR,1,0.5355647486459185,0.5355647486459185,0.0,-0.1387764319817485,-0.13877643198174816,0.0,0.4830913535755126
Eagle Creek Reservoir,PLSR,3,0.5342082853891457,0.5342082853891457,0.0,-0.12724914532349485,-0.1510704536261931,0.020547185777751942,0.9041579515893486
Eagle Creek Reservoir,PLSR,5,0.5924568928119567,0.5359695477315087,0.06206946429389476,0.23663383869087523,-0.1371445625531379,0.34460119064106,1.7256974436913932
Eagle Creek Reservoir,PLSR,10,0.6945557869574265,0.5369946219418649,0.1683759507673958,0.3614339266491797,-0.12825946779245423,0.4895756662027139,1.859702328914381
Eagle Creek Reservoir,XGBoost,1,0.34616534900236534,0.34616534900236534,0.0,0.05089249535448337,0.05089256810583753,0.0,-0.015308075304473534
Eagle Creek Reservoir,XGBoost,3,0.3446151692294511,0.3446151692294511,0.0,0.05286498131860007,0.05090662382664457,0.0022258399363523917,-0.002443374304193613
Eagle Creek Reservoir,XGBoost,5,0.30284002303823165,0.3446334035559967,-0.028558183327867248,-0.028262924125178834,0.04913688920692727,-0.0715222357934206,-0.08733966344427074
